acetic	propionic	ibutter	nbutter	ivaleric	G1	G2	G3	G4	G5
89.8	0	0	6.6	0	14.81	5.53	2.93	2.73	19.68
89.8	0	0	6.6	0	14.40	5.43	3.21	2.95	18.27
89.8	0	0	6.6	0	15.83	5.10	2.75	2.73	20.41
89.8	0	0	6.6	0	16.60	5.34	2.61	2.76	18.39
99.1	6.2	1.3	0.7	4.6	15.21	5.25	2.67	2.60	19.19
99.1	6.2	1.3	0.7	4.6	14.52	5.58	2.88	2.89	20.18
99.1	6.2	1.3	0.7	4.6	15.51	5.21	2.69	3.08	21.18
99.1	6.2	1.3	0.7	4.6	12.53	6.38	3.20	2.62	19.89
99.1	6.2	1.3	0.7	4.6	13.63	6.85	3.51	2.86	18.51
99.1	6.2	1.3	0.7	4.6	13.61	6.77	3.40	2.91	18.48
552.3	977.7	51.3	6.3	32	13.83	7.63	3.15	3.07	18.70
552.3	977.7	51.3	6.3	32	12.42	8.25	3.44	3.20	17.29
552.3	977.7	51.3	6.3	32	12.11	7.09	5.05	3.60	17.46
552.3	977.7	51.3	6.3	32	11.94	7.66	4.31	3.30	18.90
552.3	977.7	51.3	6.3	32	10.61	9.37	4.51	3.35	18.94
171.6	837.2	57.6	13.2	63	13.41	8.89	4.15	3.19	19.66
171.6	837.2	57.6	13.2	63	12.19	8.66	4.88	3.25	18.44
67.7	554.9	63.1	1.1	18.5	13.70	8.78	3.91	3.25	18.27
223.8	13.5	45.2	0.4	2.5	13.00	6.29	3.17	2.58	22.22
100	3.9	1	5.2	2.1	15.19	7.07	2.65	2.52	18.76
