 	Label	Area
1	overlap_Sample_1_&_Sample_2.bmp	116714
2	overlap_Sample_1_&_Sample_3.bmp	117420
3	overlap_Sample_1_&_Sample_4.bmp	118123
4	overlap_Sample_1_&_Sample_5.bmp	117999
5	overlap_Sample_1_&_Sample_6.bmp	116898
6	overlap_Sample_1_&_Sample_7.bmp	117459
7	overlap_Sample_1_&_Sample_8.bmp	116771
8	overlap_Sample_1_&_Sample_9.bmp	117150
9	overlap_Sample_1_&_Sample_10.bmp	116647
10	overlap_Sample_1_&_Sample_11.bmp	116895
11	overlap_Sample_1_&_Sample_12.bmp	117187
12	overlap_Sample_1_&_Sample_13.bmp	116614
13	overlap_Sample_1_&_Sample_14.bmp	116361
14	overlap_Sample_1_&_Sample_15.bmp	115878
15	overlap_Sample_1_&_Sample_16.bmp	116664
16	overlap_Sample_1_&_Sample_17.bmp	116843
17	overlap_Sample_1_&_Sample_18.bmp	116815
18	overlap_Sample_1_&_Sample_19.bmp	117439
19	overlap_Sample_1_&_Sample_20.bmp	119568
20	overlap_Sample_2_&_Sample_3.bmp	116506
21	overlap_Sample_2_&_Sample_4.bmp	117518
22	overlap_Sample_2_&_Sample_5.bmp	116685
23	overlap_Sample_2_&_Sample_6.bmp	115822
24	overlap_Sample_2_&_Sample_7.bmp	116775
25	overlap_Sample_2_&_Sample_8.bmp	114840
26	overlap_Sample_2_&_Sample_9.bmp	115848
27	overlap_Sample_2_&_Sample_10.bmp	115419
28	overlap_Sample_2_&_Sample_11.bmp	115852
29	overlap_Sample_2_&_Sample_12.bmp	115995
30	overlap_Sample_2_&_Sample_13.bmp	115539
31	overlap_Sample_2_&_Sample_14.bmp	115264
32	overlap_Sample_2_&_Sample_15.bmp	114505
33	overlap_Sample_2_&_Sample_16.bmp	115749
34	overlap_Sample_2_&_Sample_17.bmp	115581
35	overlap_Sample_2_&_Sample_18.bmp	115493
36	overlap_Sample_2_&_Sample_19.bmp	115988
37	overlap_Sample_2_&_Sample_20.bmp	118054
38	overlap_Sample_3_&_Sample_4.bmp	118078
39	overlap_Sample_3_&_Sample_5.bmp	117652
40	overlap_Sample_3_&_Sample_6.bmp	116638
41	overlap_Sample_3_&_Sample_7.bmp	116899
42	overlap_Sample_3_&_Sample_8.bmp	116179
43	overlap_Sample_3_&_Sample_9.bmp	116278
44	overlap_Sample_3_&_Sample_10.bmp	116288
45	overlap_Sample_3_&_Sample_11.bmp	116232
46	overlap_Sample_3_&_Sample_12.bmp	116586
47	overlap_Sample_3_&_Sample_13.bmp	116460
48	overlap_Sample_3_&_Sample_14.bmp	115866
49	overlap_Sample_3_&_Sample_15.bmp	115267
50	overlap_Sample_3_&_Sample_16.bmp	116009
51	overlap_Sample_3_&_Sample_17.bmp	116214
52	overlap_Sample_3_&_Sample_18.bmp	116538
53	overlap_Sample_3_&_Sample_19.bmp	117429
54	overlap_Sample_3_&_Sample_20.bmp	119640
55	overlap_Sample_4_&_Sample_5.bmp	117930
56	overlap_Sample_4_&_Sample_6.bmp	117454
57	overlap_Sample_4_&_Sample_7.bmp	117732
58	overlap_Sample_4_&_Sample_8.bmp	116596
59	overlap_Sample_4_&_Sample_9.bmp	117325
60	overlap_Sample_4_&_Sample_10.bmp	117170
61	overlap_Sample_4_&_Sample_11.bmp	116903
62	overlap_Sample_4_&_Sample_12.bmp	117394
63	overlap_Sample_4_&_Sample_13.bmp	117037
64	overlap_Sample_4_&_Sample_14.bmp	116526
65	overlap_Sample_4_&_Sample_15.bmp	116093
66	overlap_Sample_4_&_Sample_16.bmp	117104
67	overlap_Sample_4_&_Sample_17.bmp	116698
68	overlap_Sample_4_&_Sample_18.bmp	116192
69	overlap_Sample_4_&_Sample_19.bmp	117425
70	overlap_Sample_4_&_Sample_20.bmp	119926
71	overlap_Sample_5_&_Sample_6.bmp	116879
72	overlap_Sample_5_&_Sample_7.bmp	117262
73	overlap_Sample_5_&_Sample_8.bmp	116246
74	overlap_Sample_5_&_Sample_9.bmp	116753
75	overlap_Sample_5_&_Sample_10.bmp	116686
76	overlap_Sample_5_&_Sample_11.bmp	116618
77	overlap_Sample_5_&_Sample_12.bmp	116815
78	overlap_Sample_5_&_Sample_13.bmp	116414
79	overlap_Sample_5_&_Sample_14.bmp	115806
80	overlap_Sample_5_&_Sample_15.bmp	115452
81	overlap_Sample_5_&_Sample_16.bmp	116205
82	overlap_Sample_5_&_Sample_17.bmp	116732
83	overlap_Sample_5_&_Sample_18.bmp	116361
84	overlap_Sample_5_&_Sample_19.bmp	117337
85	overlap_Sample_5_&_Sample_20.bmp	119239
86	overlap_Sample_6_&_Sample_7.bmp	116190
