 	Label	IntDen	RawIntDen
1	xor_Sample_1_&_Sample_2.bmp	2343652	2343652
2	xor_Sample_1_&_Sample_3.bmp	2378996	2378996
3	xor_Sample_1_&_Sample_4.bmp	2468411	2468411
4	xor_Sample_1_&_Sample_5.bmp	2403830	2403830
5	xor_Sample_1_&_Sample_6.bmp	2415531	2415531
6	xor_Sample_1_&_Sample_7.bmp	2513456	2513456
7	xor_Sample_1_&_Sample_8.bmp	2806569	2806569
8	xor_Sample_1_&_Sample_9.bmp	2628781	2628781
9	xor_Sample_1_&_Sample_10.bmp	2550909	2550909
10	xor_Sample_1_&_Sample_11.bmp	2549358	2549358
11	xor_Sample_1_&_Sample_12.bmp	2643837	2643837
12	xor_Sample_1_&_Sample_13.bmp	2787000	2787000
13	xor_Sample_1_&_Sample_14.bmp	2835039	2835039
14	xor_Sample_1_&_Sample_15.bmp	2985244	2985244
15	xor_Sample_1_&_Sample_16.bmp	2708076	2708076
16	xor_Sample_1_&_Sample_17.bmp	2791713	2791713
17	xor_Sample_1_&_Sample_18.bmp	2776141	2776141
18	xor_Sample_1_&_Sample_19.bmp	2625180	2625180
19	xor_Sample_1_&_Sample_20.bmp	2855682	2855682
20	xor_Sample_2_&_Sample_3.bmp	2611028	2611028
21	xor_Sample_2_&_Sample_4.bmp	2731433	2731433
22	xor_Sample_2_&_Sample_5.bmp	2681524	2681524
23	xor_Sample_2_&_Sample_6.bmp	2566633	2566633
24	xor_Sample_2_&_Sample_7.bmp	2737536	2737536
25	xor_Sample_2_&_Sample_8.bmp	2877369	2877369
26	xor_Sample_2_&_Sample_9.bmp	2712183	2712183
27	xor_Sample_2_&_Sample_10.bmp	2625831	2625831
28	xor_Sample_2_&_Sample_11.bmp	2702742	2702742
29	xor_Sample_2_&_Sample_12.bmp	2748451	2748451
30	xor_Sample_2_&_Sample_13.bmp	2815390	2815390
31	xor_Sample_2_&_Sample_14.bmp	2924611	2924611
32	xor_Sample_2_&_Sample_15.bmp	3074926	3074926
33	xor_Sample_2_&_Sample_16.bmp	2938184	2938184
34	xor_Sample_2_&_Sample_17.bmp	2951239	2951239
35	xor_Sample_2_&_Sample_18.bmp	2971545	2971545
36	xor_Sample_2_&_Sample_19.bmp	2700652	2700652
37	xor_Sample_2_&_Sample_20.bmp	3073924	3073924
38	xor_Sample_3_&_Sample_4.bmp	2478307	2478307
39	xor_Sample_3_&_Sample_5.bmp	2495288	2495288
40	xor_Sample_3_&_Sample_6.bmp	2566697	2566697
41	xor_Sample_3_&_Sample_7.bmp	2450276	2450276
42	xor_Sample_3_&_Sample_8.bmp	3022061	3022061
43	xor_Sample_3_&_Sample_9.bmp	2773195	2773195
44	xor_Sample_3_&_Sample_10.bmp	2802791	2802791
45	xor_Sample_3_&_Sample_11.bmp	2654892	2654892
46	xor_Sample_3_&_Sample_12.bmp	2920383	2920383
47	xor_Sample_3_&_Sample_13.bmp	3040982	3040982
48	xor_Sample_3_&_Sample_14.bmp	3072831	3072831
49	xor_Sample_3_&_Sample_15.bmp	3329286	3329286
50	xor_Sample_3_&_Sample_16.bmp	2769910	2769910
51	xor_Sample_3_&_Sample_17.bmp	2945557	2945557
52	xor_Sample_3_&_Sample_18.bmp	2943033	2943033
53	xor_Sample_3_&_Sample_19.bmp	2854238	2854238
54	xor_Sample_3_&_Sample_20.bmp	2993828	2993828
55	xor_Sample_4_&_Sample_5.bmp	2499273	2499273
56	xor_Sample_4_&_Sample_6.bmp	2696548	2696548
57	xor_Sample_4_&_Sample_7.bmp	2488595	2488595
58	xor_Sample_4_&_Sample_8.bmp	3055970	3055970
59	xor_Sample_4_&_Sample_9.bmp	2855988	2855988
60	xor_Sample_4_&_Sample_10.bmp	2905608	2905608
61	xor_Sample_4_&_Sample_11.bmp	2763735	2763735
62	xor_Sample_4_&_Sample_12.bmp	2895872	2895872
63	xor_Sample_4_&_Sample_13.bmp	2953673	2953673
64	xor_Sample_4_&_Sample_14.bmp	2984118	2984118
65	xor_Sample_4_&_Sample_15.bmp	3171805	3171805
66	xor_Sample_4_&_Sample_16.bmp	2860495	2860495
67	xor_Sample_4_&_Sample_17.bmp	3036044	3036044
68	xor_Sample_4_&_Sample_18.bmp	2912556	2912556
69	xor_Sample_4_&_Sample_19.bmp	2913979	2913979
70	xor_Sample_4_&_Sample_20.bmp	2855811	2855811
71	xor_Sample_5_&_Sample_6.bmp	2413851	2413851
72	xor_Sample_5_&_Sample_7.bmp	2332350	2332350
73	xor_Sample_5_&_Sample_8.bmp	2787165	2787165
74	xor_Sample_5_&_Sample_9.bmp	2580155	2580155
75	xor_Sample_5_&_Sample_10.bmp	2613797	2613797
76	xor_Sample_5_&_Sample_11.bmp	2478158	2478158
77	xor_Sample_5_&_Sample_12.bmp	2672627	2672627
78	xor_Sample_5_&_Sample_13.bmp	2901404	2901404
79	xor_Sample_5_&_Sample_14.bmp	2914973	2914973
80	xor_Sample_5_&_Sample_15.bmp	3028454	3028454
81	xor_Sample_5_&_Sample_16.bmp	2750622	2750622
82	xor_Sample_5_&_Sample_17.bmp	2910791	2910791
83	xor_Sample_5_&_Sample_18.bmp	2799593	2799593
84	xor_Sample_5_&_Sample_19.bmp	2754866	2754866
85	xor_Sample_5_&_Sample_20.bmp	2792188	2792188
86	xor_Sample_6_&_Sample_7.bmp	2318351	2318351
87	xor_Sample_6_&_Sample_8.bmp	2595874	2595874
88	xor_Sample_6_&_Sample_9.bmp	2322540	2322540
89	xor_Sample_6_&_Sample_10.bmp	2312440	2312440
90	xor_Sample_6_&_Sample_11.bmp	2249083	2249083
91	xor_Sample_6_&_Sample_12.bmp	2500276	2500276
92	xor_Sample_6_&_Sample_13.bmp	2650341	2650341
93	xor_Sample_6_&_Sample_14.bmp	2671022	2671022
94	xor_Sample_6_&_Sample_15.bmp	2926309	2926309
95	xor_Sample_6_&_Sample_16.bmp	2641775	2641775
96	xor_Sample_6_&_Sample_17.bmp	2792806	2792806
97	xor_Sample_6_&_Sample_18.bmp	2747358	2747358
98	xor_Sample_6_&_Sample_19.bmp	2595467	2595467
99	xor_Sample_6_&_Sample_20.bmp	2875561	2875561
100	xor_Sample_7_&_Sample_8.bmp	2822815	2822815
101	xor_Sample_7_&_Sample_9.bmp	2513315	2513315
102	xor_Sample_7_&_Sample_10.bmp	2531277	2531277
103	xor_Sample_7_&_Sample_11.bmp	2378260	2378260
104	xor_Sample_7_&_Sample_12.bmp	2728375	2728375
105	xor_Sample_7_&_Sample_13.bmp	2810840	2810840
106	xor_Sample_7_&_Sample_14.bmp	2845645	2845645
107	xor_Sample_7_&_Sample_15.bmp	3108818	3108818
108	xor_Sample_7_&_Sample_16.bmp	2692466	2692466
109	xor_Sample_7_&_Sample_17.bmp	2887635	2887635
110	xor_Sample_7_&_Sample_18.bmp	2834515	2834515
111	xor_Sample_7_&_Sample_19.bmp	2840568	2840568
112	xor_Sample_7_&_Sample_20.bmp	2871142	2871142
113	xor_Sample_8_&_Sample_9.bmp	2343366	2343366
114	xor_Sample_8_&_Sample_10.bmp	2408788	2408788
115	xor_Sample_8_&_Sample_11.bmp	2440933	2440933
116	xor_Sample_8_&_Sample_12.bmp	2540752	2540752
117	xor_Sample_8_&_Sample_13.bmp	2788801	2788801
118	xor_Sample_8_&_Sample_14.bmp	2766006	2766006
119	xor_Sample_8_&_Sample_15.bmp	2693525	2693525
120	xor_Sample_8_&_Sample_16.bmp	2673921	2673921
121	xor_Sample_8_&_Sample_17.bmp	2759510	2759510
122	xor_Sample_8_&_Sample_18.bmp	2749308	2749308
123	xor_Sample_8_&_Sample_19.bmp	2661593	2661593
124	xor_Sample_8_&_Sample_20.bmp	2975331	2975331
125	xor_Sample_9_&_Sample_10.bmp	2126404	2126404
126	xor_Sample_9_&_Sample_11.bmp	2043165	2043165
127	xor_Sample_9_&_Sample_12.bmp	2296010	2296010
128	xor_Sample_9_&_Sample_13.bmp	2474103	2474103
129	xor_Sample_9_&_Sample_14.bmp	2437202	2437202
130	xor_Sample_9_&_Sample_15.bmp	2623537	2623537
131	xor_Sample_9_&_Sample_16.bmp	2507211	2507211
132	xor_Sample_9_&_Sample_17.bmp	2653194	2653194
133	xor_Sample_9_&_Sample_18.bmp	2628394	2628394
134	xor_Sample_9_&_Sample_19.bmp	2604415	2604415
135	xor_Sample_9_&_Sample_20.bmp	2954925	2954925
136	xor_Sample_10_&_Sample_11.bmp	2113539	2113539
137	xor_Sample_10_&_Sample_12.bmp	2350712	2350712
138	xor_Sample_10_&_Sample_13.bmp	2538123	2538123
139	xor_Sample_10_&_Sample_14.bmp	2522062	2522062
140	xor_Sample_10_&_Sample_15.bmp	2677725	2677725
141	xor_Sample_10_&_Sample_16.bmp	2586437	2586437
142	xor_Sample_10_&_Sample_17.bmp	2712648	2712648
143	xor_Sample_10_&_Sample_18.bmp	2688882	2688882
144	xor_Sample_10_&_Sample_19.bmp	2657259	2657259
145	xor_Sample_10_&_Sample_20.bmp	2972257	2972257
146	xor_Sample_11_&_Sample_12.bmp	2306101	2306101
147	xor_Sample_11_&_Sample_13.bmp	2524500	2524500
148	xor_Sample_11_&_Sample_14.bmp	2436755	2436755
149	xor_Sample_11_&_Sample_15.bmp	2706080	2706080
150	xor_Sample_11_&_Sample_16.bmp	2476728	2476728
151	xor_Sample_11_&_Sample_17.bmp	2610329	2610329
152	xor_Sample_11_&_Sample_18.bmp	2653365	2653365
153	xor_Sample_11_&_Sample_19.bmp	2551210	2551210
154	xor_Sample_11_&_Sample_20.bmp	2861434	2861434
155	xor_Sample_12_&_Sample_13.bmp	2341547	2341547
156	xor_Sample_12_&_Sample_14.bmp	2330376	2330376
157	xor_Sample_12_&_Sample_15.bmp	2412483	2412483
158	xor_Sample_12_&_Sample_16.bmp	2429307	2429307
159	xor_Sample_12_&_Sample_17.bmp	2508188	2508188
160	xor_Sample_12_&_Sample_18.bmp	2550984	2550984
161	xor_Sample_12_&_Sample_19.bmp	2529347	2529347
162	xor_Sample_12_&_Sample_20.bmp	2844191	2844191
163	xor_Sample_13_&_Sample_14.bmp	2150725	2150725
164	xor_Sample_13_&_Sample_15.bmp	2382488	2382488
165	xor_Sample_13_&_Sample_16.bmp	2466686	2466686
166	xor_Sample_13_&_Sample_17.bmp	2428353	2428353
167	xor_Sample_13_&_Sample_18.bmp	2650001	2650001
168	xor_Sample_13_&_Sample_19.bmp	2672324	2672324
169	xor_Sample_13_&_Sample_20.bmp	3022150	3022150
170	xor_Sample_14_&_Sample_15.bmp	2270629	2270629
171	xor_Sample_14_&_Sample_16.bmp	2418603	2418603
172	xor_Sample_14_&_Sample_17.bmp	2530808	2530808
173	xor_Sample_14_&_Sample_18.bmp	2527652	2527652
174	xor_Sample_14_&_Sample_19.bmp	2673379	2673379
175	xor_Sample_14_&_Sample_20.bmp	2922773	2922773
176	xor_Sample_15_&_Sample_16.bmp	2579190	2579190
177	xor_Sample_15_&_Sample_17.bmp	2391065	2391065
178	xor_Sample_15_&_Sample_18.bmp	2634685	2634685
179	xor_Sample_15_&_Sample_19.bmp	2694698	2694698
180	xor_Sample_15_&_Sample_20.bmp	2955566	2955566
181	xor_Sample_16_&_Sample_17.bmp	2195543	2195543
182	xor_Sample_16_&_Sample_18.bmp	2321649	2321649
183	xor_Sample_16_&_Sample_19.bmp	2551846	2551846
184	xor_Sample_16_&_Sample_20.bmp	2852752	2852752
185	xor_Sample_17_&_Sample_18.bmp	2434598	2434598
186	xor_Sample_17_&_Sample_19.bmp	2554151	2554151
187	xor_Sample_17_&_Sample_20.bmp	2936941	2936941
188	xor_Sample_18_&_Sample_19.bmp	2545031	2545031
189	xor_Sample_18_&_Sample_20.bmp	2615191	2615191
190	xor_Sample_19_&_Sample_20.bmp	2479222	2479222
